itemNumber,block,type,shape1,color1,shape2,color2,line,shape3,color3,shape4,color4,meta,mipsA,mopsA,comb,mipsB,mopsB,comb,bestMips,bestMops,best,
1,7,larkey,0,0,1,1,line,0,0,1,1,,4,0,4,0,4,0,4,0,4,
2,7,larkey,0,0,1,1,line,0,1,1,0,,2,2,2,2,2,2,2,2,2,
3,7,larkey,0,0,1,1,line,0,0,1,0,,3,1,3,1,3,1,3,1,3,
4,7,larkey,0,0,1,1,line,0,1,1,1,,3,1,3,1,3,1,3,1,3,
5,7,larkey,0,0,1,1,line,0,0,1,2,,3,0,3,0,3,0,3,0,3,
6,7,larkey,0,0,1,1,line,0,2,1,1,,3,0,3,0,3,0,3,0,3,
7,7,larkey,0,0,1,1,line,0,2,1,0,,2,1,2,1,2,1,2,1,2,
8,7,larkey,0,0,1,1,line,0,1,1,2,,2,1,2,1,2,1,2,1,2,
9,7,larkey,0,0,1,1,line,0,2,1,3,,2,0,2,0,2,0,2,0,2,
10,7,larkey,0,0,1,1,line,1,0,0,1,,2,2,2,2,2,2,2,2,2,
11,7,larkey,0,0,1,1,line,1,1,0,0,,0,4,0,4,0,4,4,0,4,
12,7,larkey,0,0,1,1,line,1,0,0,0,,1,3,1,3,1,3,3,1,3,
13,7,larkey,0,0,1,1,line,1,1,0,1,,1,3,1,3,1,3,3,1,3,
14,7,larkey,0,0,1,1,line,1,0,0,2,,1,2,1,2,1,2,2,1,2,
15,7,larkey,0,0,1,1,line,1,2,0,1,,1,2,1,2,1,2,2,1,2,
16,7,larkey,0,0,1,1,line,1,2,0,0,,0,3,0,3,0,3,3,0,3,
17,7,larkey,0,0,1,1,line,1,1,0,2,,0,3,0,3,0,3,3,0,3,
18,7,larkey,0,0,1,1,line,1,2,0,3,,0,2,0,2,0,2,2,0,2,
19,7,larkey,0,0,1,1,line,0,0,0,1,,3,1,3,1,3,1,3,1,3,
20,7,larkey,0,0,1,1,line,0,1,0,0,,1,3,1,3,1,3,3,1,3,
21,7,larkey,0,0,1,1,line,0,0,0,0,,2,2,2,2,2,2,2,2,2,
22,7,larkey,0,0,1,1,line,0,1,0,1,,2,2,2,2,2,2,2,2,2,
23,7,larkey,0,0,1,1,line,0,0,0,2,,2,1,2,1,2,1,2,1,2,
24,7,larkey,0,0,1,1,line,0,2,0,1,,2,1,2,1,2,1,2,1,2,
25,7,larkey,0,0,1,1,line,0,2,0,0,,1,2,1,2,1,2,2,1,2,
26,7,larkey,0,0,1,1,line,0,1,0,2,,1,2,1,2,1,2,2,1,2,
27,7,larkey,0,0,1,1,line,0,2,0,3,,1,1,1,1,1,1,1,1,1,
28,7,larkey,0,0,1,1,line,1,0,1,1,,3,1,3,1,3,1,3,1,3,
29,7,larkey,0,0,1,1,line,1,1,1,0,,1,3,1,3,1,3,3,1,3,
30,7,larkey,0,0,1,1,line,1,0,1,0,,2,2,2,2,2,2,2,2,2,
31,7,larkey,0,0,1,1,line,1,1,1,1,,2,2,2,2,2,2,2,2,2,
32,7,larkey,0,0,1,1,line,1,0,1,2,,2,1,2,1,2,1,2,1,2,
33,7,larkey,0,0,1,1,line,1,2,1,1,,2,1,2,1,2,1,2,1,2,
34,7,larkey,0,0,1,1,line,1,2,1,0,,1,2,1,2,1,2,2,1,2,
35,7,larkey,0,0,1,1,line,1,1,1,2,,1,2,1,2,1,2,2,1,2,
36,7,larkey,0,0,1,1,line,1,2,1,3,,1,1,1,1,1,1,1,1,1,
37,7,larkey,0,0,1,1,line,0,0,2,1,,3,0,3,0,3,0,3,0,3,
38,7,larkey,0,0,1,1,line,0,1,2,0,,1,2,1,2,1,2,2,1,2,
39,7,larkey,0,0,1,1,line,0,0,2,0,,2,1,2,1,2,1,2,1,2,
40,7,larkey,0,0,1,1,line,0,1,2,1,,2,1,2,1,2,1,2,1,2,
41,7,larkey,0,0,1,1,line,0,0,2,2,,2,0,2,0,2,0,2,0,2,
42,7,larkey,0,0,1,1,line,0,2,2,1,,2,0,2,0,2,0,2,0,2,
43,7,larkey,0,0,1,1,line,0,2,2,0,,1,1,1,1,1,1,1,1,1,
44,7,larkey,0,0,1,1,line,0,1,2,2,,1,1,1,1,1,1,1,1,1,
45,7,larkey,0,0,1,1,line,0,2,2,3,,1,0,1,0,1,0,1,0,1,
46,7,larkey,0,0,1,1,line,2,0,1,1,,3,0,3,0,3,0,3,0,3,
47,7,larkey,0,0,1,1,line,2,1,1,0,,1,2,1,2,1,2,2,1,2,
48,7,larkey,0,0,1,1,line,2,0,1,0,,2,1,2,1,2,1,2,1,2,
49,7,larkey,0,0,1,1,line,2,1,1,1,,2,1,2,1,2,1,2,1,2,
50,7,larkey,0,0,1,1,line,2,0,1,2,,2,0,2,0,2,0,2,0,2,
51,7,larkey,0,0,1,1,line,2,2,1,1,,2,0,2,0,2,0,2,0,2,
52,7,larkey,0,0,1,1,line,2,2,1,0,,1,1,1,1,1,1,1,1,1,
53,7,larkey,0,0,1,1,line,2,1,1,2,,1,1,1,1,1,1,1,1,1,
54,7,larkey,0,0,1,1,line,2,2,1,3,,1,0,1,0,1,0,1,0,1,
55,7,larkey,0,0,1,1,line,2,0,0,1,,2,1,2,1,2,1,2,1,2,
56,7,larkey,0,0,1,1,line,2,1,0,0,,0,3,0,3,0,3,3,0,3,
57,7,larkey,0,0,1,1,line,2,0,0,0,,1,2,1,2,1,2,2,1,2,
58,7,larkey,0,0,1,1,line,2,1,0,1,,1,2,1,2,1,2,2,1,2,
59,7,larkey,0,0,1,1,line,2,0,0,2,,1,1,1,1,1,1,1,1,1,
60,7,larkey,0,0,1,1,line,2,2,0,1,,1,1,1,1,1,1,1,1,1,
61,7,larkey,0,0,1,1,line,2,2,0,0,,0,2,0,2,0,2,2,0,2,
62,7,larkey,0,0,1,1,line,2,1,0,2,,0,2,0,2,0,2,2,0,2,
63,7,larkey,0,0,1,1,line,2,2,0,3,,0,1,0,1,0,1,1,0,1,
64,7,larkey,0,0,1,1,line,1,0,2,1,,2,1,2,1,2,1,2,1,2,
65,7,larkey,0,0,1,1,line,1,1,2,0,,0,3,0,3,0,3,3,0,3,
66,7,larkey,0,0,1,1,line,1,0,2,0,,1,2,1,2,1,2,2,1,2,
67,7,larkey,0,0,1,1,line,1,1,2,1,,1,2,1,2,1,2,2,1,2,
68,7,larkey,0,0,1,1,line,1,0,2,2,,1,1,1,1,1,1,1,1,1,
69,7,larkey,0,0,1,1,line,1,2,2,1,,1,1,1,1,1,1,1,1,1,
70,7,larkey,0,0,1,1,line,1,2,2,0,,0,2,0,2,0,2,2,0,2,
71,7,larkey,0,0,1,1,line,1,1,2,2,,0,2,0,2,0,2,2,0,2,
72,7,larkey,0,0,1,1,line,1,2,2,3,,0,1,0,1,0,1,1,0,1,
73,7,larkey,0,0,1,1,line,2,0,3,1,,2,0,2,0,2,0,2,0,2,
74,7,larkey,0,0,1,1,line,2,1,3,0,,0,2,0,2,0,2,2,0,2,
75,7,larkey,0,0,1,1,line,2,0,3,0,,1,1,1,1,1,1,1,1,1,
76,7,larkey,0,0,1,1,line,2,1,3,1,,1,1,1,1,1,1,1,1,1,
77,7,larkey,0,0,1,1,line,2,0,3,2,,1,0,1,0,1,0,1,0,1,
78,7,larkey,0,0,1,1,line,2,2,3,1,,1,0,1,0,1,0,1,0,1,
79,7,larkey,0,0,1,1,line,2,2,3,0,,0,1,0,1,0,1,1,0,1,
80,7,larkey,0,0,1,1,line,2,1,3,2,,0,1,0,1,0,1,1,0,1,
81,7,larkey,0,0,1,1,line,2,2,3,3,,0,0,0,0,0,0,0,0,0,
